series,custom name,total count
Ram/3500,Miles traveled,6578.05147662757
Mercedes-Benz/S-Class,Miles traveled,6439.38146231203
Mercedes-Benz/Sprinter,Miles traveled,6369.346167041321
Volvo/V60,Miles traveled,6232.318890195036
Ford/Fusion Energi,Miles traveled,6213.440343106026
BMW/Z4,Miles traveled,6210.677259215399
BMW/M4,Miles traveled,6189.268456889414
Audi/SQ7,Miles traveled,6096.593944097103
Mazda/CX-60,Miles traveled,6094.926139156548
Peugeot/2008,Miles traveled,6005.658235223756
KTM/390 Duke,Miles traveled,5971.171719033016
Audi/Q6 e-tron,Miles traveled,5921.239673732775
MG/MG6,Miles traveled,5893.130718570568
Volvo/S90,Miles traveled,5739.3513824175825
Volkswagen/ID. Buzz,Miles traveled,5590.965264372585
Changan/Uni v sport,Miles traveled,5531.294217397881
Geely/Preface,Miles traveled,5497.939696186671
Changan/Eado Plus,Miles traveled,5489.441928245813
Ford/Puma,Miles traveled,5411.225464462343
Citroen/Jumper,Miles traveled,5306.817199505665
BYD/Seal U DMI,Miles traveled,5297.949526700447
BMW/X2,Miles traveled,5294.26554897783
Peugeot/308,Miles traveled,5285.43065600726
Toyota/Venza Hybrid,Miles traveled,5264.844905887407
Alfa Romeo/Giulia,Miles traveled,5255.496084538274
MG/Hector,Miles traveled,5247.789764011457
Renault/Talisman,Miles traveled,5200.896050425975
MAN/TGE,Miles traveled,5154.088361206861
Ford/Kuga,Miles traveled,5143.786573200782
GMC/Acadia,Miles traveled,5091.188662948695
Ford/Fiesta ST,Miles traveled,5090.754552340282
Mazda/2,Miles traveled,5080.04675013648
Toyota/Yaris Cross,Miles traveled,5023.883420245182
Mercedes-Benz/CLS-Class,Miles traveled,4965.748040396538
Kawasaki/Ninja,Miles traveled,4894.410722369185
Volkswagen/ID.5,Miles traveled,4803.110422490012
Kia/Rio,Miles traveled,4757.363149547744
Nissan/370Z,Miles traveled,4745.543642208186
Nissan/X-Trail,Miles traveled,4670.1963225639065
INFINITI/QX80,Miles traveled,4640.662923055748
Chevrolet/Corvette,Miles traveled,4602.532698017507
GMC/Terrain,Miles traveled,4551.358747384437
Audi/S3,Miles traveled,4514.219418084673
Ford/E-Series Van,Miles traveled,4494.716112067303
Volvo/C30,Miles traveled,4466.005387709978
Renault/Scenic,Miles traveled,4435.495214414848
Toyota/Corolla Cross Hybrid,Miles traveled,4418.510683362978
INFINITI/QX50,Miles traveled,4288.224379851663
Mazda/Mazda6,Miles traveled,4286.626853248674
Mercedes-Benz/GLC-Class Coupe,Miles traveled,4247.515606792713
Renault/Scenic E-Tech,Miles traveled,4159.652786160681
Renault/Zoe,Miles traveled,4149.605883328143
Haval/H9,Miles traveled,4132.1348595904965
