series,custom name,total count
Toyota/Sienna Hybrid,Miles traveled,6799.939063835739
Chevrolet/Impala,Miles traveled,6790.751649074887
BMW/4 Series Gran Coupe,Miles traveled,6729.159492895159
Mitsubishi/Outlander,Miles traveled,6631.836234043165
Lexus/GX,Miles traveled,6617.724478134572
Porsche/Panamera,Miles traveled,6568.569238425166
Honda/Jazz,Miles traveled,6519.579712664381
Suzuki/Swift,Miles traveled,6448.579608049141
Porsche/911,Miles traveled,6437.353042772542
Audi/A3 e-tron,Miles traveled,6420.81082924795
Kia/Telluride,Miles traveled,6400.682401746186
Kia/Niro EV,Miles traveled,6155.398218954736
BMW/M4,Miles traveled,6069.917699373315
Hyundai/i20,Miles traveled,6038.981704479489
Volkswagen/CC,Miles traveled,5978.49334965727
Suzuki/Jimny,Miles traveled,5972.440678099015
GMC/Sierra 1500 Limited,Miles traveled,5925.720916118138
Mazda/Mazda3,Miles traveled,5906.962616851414
MINI/Countryman,Miles traveled,5848.922544358411
Audi/e-tron,Miles traveled,5760.104270933741
Subaru/BRZ,Miles traveled,5676.489138606211
Audi/S6,Miles traveled,5669.77949095482
Mercedes-Benz/C43 AMG,Miles traveled,5658.963426224762
Honda/HR-V,Miles traveled,5646.97898298077
MG/Rx8,Miles traveled,5618.713451212277
Chevrolet/Equinox,Miles traveled,5505.3847374787765
Changan/UNI-V,Miles traveled,5485.779819434709
BMW/M3,Miles traveled,5479.470834147101
Land Rover/Range Rover,Miles traveled,5410.764702505155
GMC/Yukon,Miles traveled,5402.694631786716
BMW/Z4,Miles traveled,5354.698305312304
Volvo/XC90,Miles traveled,5337.377771086373
Lexus/LS 460,Miles traveled,5312.078498450059
Toyota/GR Supra,Miles traveled,5305.291031582854
Jaguar/F-PACE,Miles traveled,5265.657377565258
GMC/Sierra Limited,Miles traveled,5187.315655672487
Volkswagen/T-Roc,Miles traveled,5155.883645178069
Ford/Transit,Miles traveled,5139.184305758148
BMW/X2,Miles traveled,5133.579035364948
Toyota/Camry Hybrid,Miles traveled,5062.663593759455
Ford/F-350,Miles traveled,5061.019200625926
GWM/Cannon,Miles traveled,5026.091161550099
Haval/Jolion,Miles traveled,5020.51294527147
BMW/iX,Miles traveled,4986.5769386708225
Nissan/Murano,Miles traveled,4963.1138116690045
Kawasaki/Ninja 650,Miles traveled,4894.410722369184
Audi/Q6 e-tron,Miles traveled,4802.858729655927
Land Rover/2024,Miles traveled,4766.408813731127
Citroen/Jumper,Miles traveled,4752.8183672789
Honda/Insight,Miles traveled,4735.972020394005
GMC/Sierra 2500HD,Miles traveled,4721.856918894118
Jeep/Gladiator,Miles traveled,4687.185833726483
Land Rover/X 6,Miles traveled,4598.14347570931
Chevrolet/Silverado 2500,Miles traveled,4556.715326939565
Volvo/XC60,Miles traveled,4477.3349204677215
Nissan/Nissan Patrol,Miles traveled,4402.600336857584
KTM/Duke,Miles traveled,4378.164592216082
Nissan/Maxima,Miles traveled,4374.055792065858
Kia/Sedona,Miles traveled,4322.935483997652
Geely/Monjaro,Miles traveled,4287.820894820209
MG/MG5,Miles traveled,4172.101679346187
Subaru/Legacy,Miles traveled,4154.911495976695
Toyota/Grand Highlander Hybrid,Miles traveled,4141.773362533858
BYD/Seal U DMI,Miles traveled,4132.428883892242
Mercedes-Benz/GLC-Class Coupe,Miles traveled,4109.427321789062
Volvo/C40,Miles traveled,4073.7640506294747
Polestar/3,Miles traveled,4048.9022125999204
Subaru/Ascent,Miles traveled,3955.4928273111695
Peugeot/E-308,Miles traveled,3936.814178033271
Chevrolet/Blazer,Miles traveled,3912.980297981181
Ford/Mondeo,Miles traveled,3906.3724861269648
BMW/220i Cabriolet Steptronic,Miles traveled,3894.115205199229
Honda/Element,Miles traveled,3892.7167498833737
Lexus/IS 350,Miles traveled,3867.084281664869
Jetour/T2,Miles traveled,3835.815000882113
Kia/Carnival,Miles traveled,3830.0785789117085
Renault/Zoe,Miles traveled,3810.27668478325
Chery/Arrizo 8,Miles traveled,3794.827849381402
Mercedes-Benz/Vito,Miles traveled,3734.692649157217
MINI/Cooper Diesel,Miles traveled,3704.9034211423664
Lucid/Air,Miles traveled,3666.4039596938956
