series,custom name,total count
Mercedes-Benz/G-Class,# of stigs,12
Mitsubishi/Lancer,# of stigs,12
Ford/Everest,# of stigs,12
FIAT/Panda,# of stigs,12
Haval/Jolion,# of stigs,12
Vauxhall-Opel/Insignia,# of stigs,12
Chevrolet/Sonic,# of stigs,12
BMW/M2,# of stigs,12
Genesis/GV80,# of stigs,12
Toyota/GR Corolla,# of stigs,12
Haval/H6,# of stigs,12
MG/MG6,# of stigs,12
Ford/Fusion Energi,# of stigs,11
Volvo/C40,# of stigs,11
Ford/EcoSport,# of stigs,11
Volkswagen/Arteon,# of stigs,11
Audi/S4,# of stigs,11
Honda/Jazz,# of stigs,11
Peugeot/508,# of stigs,11
Chevrolet/Captiva,# of stigs,11
Toyota/Sienna Hybrid,# of stigs,11
Jaguar/F-PACE,# of stigs,11
Jeep/Avenger,# of stigs,11
Isuzu/D-Max,# of stigs,10
Hyundai/Santa Cruz,# of stigs,10
Chevrolet/Spark,# of stigs,10
Alfa Romeo/Stelvio,# of stigs,10
BMW/M3,# of stigs,10
INFINITI/G,# of stigs,10
Audi/TT,# of stigs,10
Jaguar/I-PACE,# of stigs,10
Geely/Monjaro,# of stigs,10
Honda/Passport,# of stigs,10
Renault/Captur,# of stigs,10
Vauxhall-Opel/Mokka,# of stigs,10
Honda/Clarity,# of stigs,10
Lexus/RZ,# of stigs,9
Mazda/CX-60,# of stigs,9
Nissan/Navara,# of stigs,9
Acura/ILX,# of stigs,9
Ram/3500,# of stigs,9
Hyundai/Ioniq Electric,# of stigs,9
Volkswagen/Caddy,# of stigs,9
Chery/Arrizo 8,# of stigs,9
Land Rover/Discovery,# of stigs,9
Ford/Focus ST,# of stigs,9
BMW/X2,# of stigs,9
Land Rover/Range Rover Velar,# of stigs,9
INFINITI/QX80,# of stigs,9
BYD/K9M,# of stigs,9
Porsche/718,# of stigs,9
Honda/City,# of stigs,9
Cadillac/CTS,# of stigs,9
GWM/Tank 300,# of stigs,9
Mercedes-Benz/EQB,# of stigs,9
Alfa Romeo/MiTo,# of stigs,9
Renault/Scenic,# of stigs,9
Cadillac/XT5,# of stigs,9
Nissan/Titan,# of stigs,9
Nissan/Juke,# of stigs,9
Mazda/CX-3,# of stigs,8
Renault/Kadjar,# of stigs,8
Buick/Envision,# of stigs,8
Toyota/Venza,# of stigs,8
Suzuki/Grand Vitara,# of stigs,8
Peugeot/5008,# of stigs,8
FIAT/500,# of stigs,8
BMW/X6,# of stigs,8
Mercedes-Benz/GLB-Class,# of stigs,8
Land Rover/Discovery Sport,# of stigs,8
Ford/Mondeo Turnier,# of stigs,8
BMW/i5,# of stigs,8
Lexus/CT,# of stigs,8
GAC/Empow,# of stigs,8
Volvo/V70,# of stigs,8
BMW/8 Series,# of stigs,8
Aiways/U5,# of stigs,8
Land Rover/Range Rover Evoque,# of stigs,8
Nissan/Xterra,# of stigs,8
Hyundai/Creta,# of stigs,8
FIAT/500X,# of stigs,8
Alfa Romeo/Giulietta,# of stigs,8
Dodge/Dart,# of stigs,8
Volkswagen/ID.5,# of stigs,8
Hyundai/Ioniq Hybrid,# of stigs,8
Mitsubishi/Outlander PHEV,# of stigs,8
MG/MG3,# of stigs,8
Smart/#1,# of stigs,8
Volkswagen/Taigo,# of stigs,8
Kia/Sonet,# of stigs,7
INFINITI/QX60,# of stigs,7
Ford/Transit Connect,# of stigs,7
Volkswagen/ID. Buzz,# of stigs,7
Mercedes-Benz/M-Class,# of stigs,7
Hyundai/i10,# of stigs,7
Jeep/Grand Wagoneer,# of stigs,7
Audi/RS 3,# of stigs,7
Lincoln/Aviator,# of stigs,7
Kia/Carnival,# of stigs,7
Lincoln/Continental,# of stigs,7
Acura/TL,# of stigs,7
Seat/Tarraco,# of stigs,7
Audi/A3 e-tron,# of stigs,7
BMW/Z4,# of stigs,7
Lincoln/Zephyr,# of stigs,7
Nissan/Murano,# of stigs,7
Hyundai/Genesis,# of stigs,7
Holden/Commodore,# of stigs,7
Mercedes-Benz/CLS-Class,# of stigs,7
Chevrolet/Avalanche,# of stigs,7
Mitsubishi/Outlander Sport,# of stigs,7
FIAT/Punto,# of stigs,7
BMW/iX3,# of stigs,7
Volkswagen/CC,# of stigs,7
Audi/Q6 e-tron,# of stigs,7
Mitsubishi/Triton,# of stigs,7
Hyundai/Ioniq Plug-In Hybrid,# of stigs,7
Mitsubishi/ASX,# of stigs,7
Dodge/Hornet,# of stigs,7
Audi/Q4,# of stigs,6
Dacia/Spring,# of stigs,6
Honda/Element,# of stigs,6
BMW/M4,# of stigs,6
Audi/Q8,# of stigs,6
Kia/K8,# of stigs,6
Toyota/Aygo X,# of stigs,6
BYD/Seal,# of stigs,6
Polestar/4,# of stigs,6
MINI/Clubman,# of stigs,6
Mitsubishi/Mirage G4,# of stigs,6
Buick/Envista,# of stigs,6
Audi/Q2,# of stigs,6
Audi/RS e-tron,# of stigs,6
Mercedes-Benz/EQE,# of stigs,6
Kia/Carens,# of stigs,6
MG/GT,# of stigs,6
OPEL/Insignia,# of stigs,6
Jeep/Patriot,# of stigs,6
Buick/LaCrosse,# of stigs,6
Volkswagen/Scirocco,# of stigs,6
Volkswagen/Transporter,# of stigs,6
Renault/Trafic,# of stigs,6
Volvo/V40,# of stigs,6
Kia/Stonic,# of stigs,6
Audi/A7,# of stigs,6
Dodge/Grand Caravan,# of stigs,6
Suzuki/Baleno,# of stigs,6
Buick/Encore,# of stigs,6
Ineos/Grenadier,# of stigs,6
Changan/UNI-K,# of stigs,6
Suzuki/Vitara,# of stigs,6
Mitsubishi/Pajero,# of stigs,6
Volkswagen/Amarok,# of stigs,6
Scion/xB,# of stigs,6
Lynk & Co/01,# of stigs,6
Renault/Austral,# of stigs,6
Scion/tC,# of stigs,6
GAC/GS3,# of stigs,6
Jaguar/XF,# of stigs,5
Mercedes-Benz/SLK-Class,# of stigs,5
BMW/4 Series Plug-in Hybrid,# of stigs,5
Buick/Encore GX,# of stigs,5
FIAT/Tipo,# of stigs,5
Toyota/Celica,# of stigs,5
Mercedes-Benz/EQS,# of stigs,5
Volkswagen/ID.7,# of stigs,5
Cadillac/LYRIQ,# of stigs,5
Acura/TSX,# of stigs,5
Audi/S8,# of stigs,5
FIAT/Fastback,# of stigs,5
DS/DS 7,# of stigs,5
Peugeot/408,# of stigs,5
Ford/S-Max,# of stigs,5
Cadillac/ATS,# of stigs,5
Nissan/Micra,# of stigs,5
Peugeot/207,# of stigs,5
Dodge/Journey,# of stigs,5
Toyota/Innova,# of stigs,5
Renault/Talisman,# of stigs,5
Nissan/Kicks MPV,# of stigs,5
Volvo/S90,# of stigs,5
Kia/ProCeed,# of stigs,5
Kia/XCeed,# of stigs,5
Geely/Preface,# of stigs,5
Lucid/Air,# of stigs,5
Kia/Sedona,# of stigs,5
Renault/Arkana,# of stigs,5
Mazda/Mazda2,# of stigs,5
FIAT/500e,# of stigs,5
Mazda/CX-70,# of stigs,5
Volkswagen/Teramont,# of stigs,5
Scion/FR-S,# of stigs,5
Ram/ProMaster,# of stigs,5
Geely/Emgrand,# of stigs,5
Ora/Funky Cat,# of stigs,5
Audi/S6,# of stigs,5
Ford/F-450,# of stigs,5
Volvo/C30,# of stigs,4
Vauxhall-Opel/Vivaro,# of stigs,4
Kia/K7,# of stigs,4
